               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.024255,           0.0072376,          0.00052661,              0.8017,             0.67124,             0.69692,              0.3474,            0.048086,            0.010514,           0.0065819,            0.001783,            0.001783,            0.001783
                  85,            0.023582,           0.0070347,          0.00067758,             0.80483,             0.68983,             0.70702,             0.35902,            0.047406,            0.010558,           0.0069272,            0.001684,            0.001684,            0.001684
                  86,            0.022889,           0.0069756,           0.0015176,             0.79127,             0.72415,             0.72488,             0.36863,            0.045933,            0.010506,           0.0069179,            0.001585,            0.001585,            0.001585
                  87,            0.023061,           0.0059388,          0.00061524,             0.80549,             0.70808,             0.72571,             0.37086,            0.046744,            0.010395,           0.0077716,            0.001486,            0.001486,            0.001486
                  88,            0.023321,           0.0073475,          0.00094759,             0.84863,              0.7032,             0.72973,             0.34842,            0.048399,            0.010358,           0.0077302,            0.001387,            0.001387,            0.001387
                  89,            0.023461,           0.0064669,           0.0004052,             0.85148,             0.69241,             0.72298,             0.34044,            0.049684,            0.010357,           0.0075329,            0.001288,            0.001288,            0.001288
                  90,            0.022733,           0.0068418,          0.00064105,             0.85263,             0.68576,             0.73078,             0.34548,            0.048966,            0.010441,           0.0078705,            0.001189,            0.001189,            0.001189
                  91,            0.022766,           0.0070797,          0.00041444,             0.83202,             0.68449,             0.71744,             0.32629,             0.05046,            0.010473,           0.0079712,             0.00109,             0.00109,             0.00109
                  92,             0.02186,           0.0066504,          0.00048519,             0.81868,             0.69692,             0.72575,             0.33881,            0.048635,            0.010455,           0.0081271,            0.000991,            0.000991,            0.000991
                  93,            0.022218,           0.0064757,          0.00035529,             0.83499,             0.69039,             0.72965,             0.34634,            0.048016,            0.010509,            0.007845,            0.000892,            0.000892,            0.000892
                  94,            0.021982,           0.0065503,          0.00070264,             0.83732,             0.68956,             0.73237,             0.34458,            0.047928,            0.010602,           0.0076101,            0.000793,            0.000793,            0.000793
                  95,            0.022665,           0.0060294,          0.00031881,             0.81994,             0.68732,             0.72489,                0.33,            0.049365,            0.010633,           0.0078692,            0.000694,            0.000694,            0.000694
                  96,              0.0218,           0.0067378,          0.00035169,             0.80777,             0.69639,             0.72286,             0.34444,            0.048692,            0.010624,            0.008332,            0.000595,            0.000595,            0.000595
                  97,            0.021573,           0.0065959,          0.00031368,             0.81534,             0.69312,             0.73078,             0.34804,            0.048253,            0.010653,           0.0083924,            0.000496,            0.000496,            0.000496
                  98,            0.022829,           0.0069539,          0.00071717,             0.83775,             0.68015,             0.72847,             0.34895,            0.048256,            0.010678,           0.0082281,            0.000397,            0.000397,            0.000397
                  99,            0.022407,           0.0065275,          0.00088574,             0.84101,             0.68199,              0.7316,             0.34527,            0.048016,            0.010671,           0.0079779,            0.000298,            0.000298,            0.000298
